image_name,image_path,retrieved_captions,retrieved_scores,retrieved_image_names,hit@1,hit@5,hit@10,raw_phi,answer_phi,raw_llava,answer_llava
633456174.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/633456174.jpg,"[' A boy throws an object in front of a glass building .', ' a young man is performing a roller-blade jump in front of a glass building .', ' a young male playing with bubbled outside of a business', ' A young adult male , wearing a black shirt and black pants , balances on one leg atop modern architecture .', ' A young man playing with a large yo-yo .']","[0.39596810936927795, 0.36223191022872925, 0.3522777259349823, 0.3510497212409973, 0.3468637764453888]","['633456174.jpg', '5130882483.jpg', '4593093015.jpg', '6039214277.jpg', '6825723456.jpg']",1,1,1,A young man balances on one leg atop modern architecture.,A young man balances on one leg atop modern architecture.,A young man wearing a black shirt and black pants balances on one leg atop modern architecture.,A young man wearing a black shirt and black pants balances on one leg atop modern architecture.
411175971.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/411175971.jpg,"[' A dog walking on a wet beach .', ' A wet , blond dog carries a stick on the shore .', ' The wet , brown dog has a stick in his mouth and is running in the sand next to the water .', ' A brown dog is shown standing in the water near a muddy beach .', ' A brown dog steps into murky water .']","[0.3710615038871765, 0.36016714572906494, 0.3586592376232147, 0.35634568333625793, 0.35577133297920227]","['418357172.jpg', '2826769554.jpg', '2826769554.jpg', '411175971.jpg', '3109136206.jpg']",0,1,1,A brown dog steps into murky water.,A brown dog steps into murky water.,A dog is walking on a wet beach.,A dog is walking on a wet beach.
3694093650.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3694093650.jpg,"[' A group of costumed young people gathered in an underground structure .', ' There is a group of many adults around a fake pirate ship dressed up as pirates .', ' A group of people dressed as pirates are in a cardboard cut out of a ship .', ' A group of people are standing in a wooded area dressed in costumes and drinking beer .', ' A group of people are dressed up in costumes in the woods .']","[0.356851190328598, 0.33529356122016907, 0.3313019275665283, 0.3210199475288391, 0.31853288412094116]","['4552849473.jpg', '4830258067.jpg', '4830258067.jpg', '57691053.jpg', '161329629.jpg']",0,0,0,A group of people are dressed up in costumes in the woods.,A group of people are dressed up in costumes in the woods.,A group of people dressed as pirates are in a cardboard cut out of a ship.,A group of people dressed as pirates are in a cardboard cut out of a ship.
3591094476.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3591094476.jpg,"[' A person stands with two leashed pugs and wears plaid pants with a black shirt set .', ' A man dressed in black is standing above a white dog .', ' A man dressed in black with a white dog .', ' A man in black stands side by side with a white dog .', ' A person wearing a tuxedo is standing a floor with black and white squares .']","[0.3779726028442383, 0.31921687722206116, 0.31266143918037415, 0.300424724817276, 0.29733893275260925]","['3591094476.jpg', '2228381169.jpg', '2228381169.jpg', '2228381169.jpg', '1391394685.jpg']",1,1,1,A person stands with two leashed pugs and wears plaid pants with a black shirt set.,A person stands with two leashed pugs and wears plaid pants with a black shirt set.,A woman wearing a black jacket and plaid pants stands with two dogs on leashes.,A woman wearing a black jacket and plaid pants stands with two dogs on leashes.
1918894054.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/1918894054.jpg,"[' A female speaker wearing a gray jacket , a dark scoop necked top with a dark knee length skirt is presenting to a group using a computer to present as well as a microphone at the podium .', ' A female speaker at the SVA Theatre is giving a speech .', ' a woman is presenting a book to a crowd .', ' A female speaker talks about GlamWiki .', ' Woman giving a presentation at a Wikimedia event .']","[0.3373948037624359, 0.3342227041721344, 0.3128287196159363, 0.31032565236091614, 0.3090743124485016]","['1918894054.jpg', '5352303362.jpg', '456244990.jpg', '3796631367.jpg', '3794595430.jpg']",1,1,1,A woman is giving a presentation at a Wikimedia event.,A woman is giving a presentation at a Wikimedia event.,A woman giving a presentation at a Wikimedia event.,A woman giving a presentation at a Wikimedia event.
439569646.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/439569646.jpg,"[' A young girl is cleaning a pair of boots on a rug inside a doorway .', ' A young girl faces a white and black wall in a red-carpeted room .', ' A little kid climbs a red mat on a festive carpet .', ' A young girl forgets about her room chores as her book intrigues her .', ' A toddler sticks paper "" P "" letters to a wood paneled wall .']","[0.37358558177948, 0.36737093329429626, 0.3630259335041046, 0.3573530912399292, 0.3562476336956024]","['4183662919.jpg', '439569646.jpg', '2826030193.jpg', '4565405799.jpg', '2516317118.jpg']",0,1,1,A young girl is cleaning a pair of boots on a rug inside a doorway.,A young girl is cleaning a pair of boots on a rug inside a doorway.,A young girl is cleaning a pair of boots on a rug inside a doorway.,A young girl is cleaning a pair of boots on a rug inside a doorway.
512761651.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/512761651.jpg,"[' Pedestrians stroll down gardened walkway .', ' Pedestrians in a shaded walkway', ' A group walking in the middle of a walkway with a green divider , and a woman is walking by herself off to the right .', ' Walking through park and looking at all the construction .', ' Pedestrians walk through an open area between several traditional-style Japanese or Chinese buildings .']","[0.3916570544242859, 0.3559824526309967, 0.3431773781776428, 0.34189483523368835, 0.33756956458091736]","['4910842410.jpg', '4892689267.jpg', '516279719.jpg', '4891825066.jpg', '1306755031.jpg']",0,0,0,A man in a suit walks down a sidewalk with a man in a black coat walking behind him.,A man in a suit walks down a sidewalk with a man in a black coat walking behind him.,A black bird flies over a group of people walking down a sidewalk.,A black bird flies over a group of people walking down a sidewalk.
531347711.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/531347711.jpg,"["" Dad is adjusting daughter 's bike ."", "" A toddler in a white shirt is standing in front of a blue kid 's bike ."", ' A man helps a little girl ride a bike .', ' This is when daddy taught her how to ride her scooter .', ' A man holding onto a small girl on a bike .']","[0.3650738596916199, 0.3525956869125366, 0.34734174609184265, 0.3468368649482727, 0.34647658467292786]","['3564489441.jpg', '4418943038.jpg', '191003284.jpg', '531347711.jpg', '191003284.jpg']",0,1,1,A man helps a little girl ride a bike.,A man helps a little girl ride a bike.,A man is helping a little girl ride a bike.,A man is helping a little girl ride a bike.
5651514000.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/5651514000.jpg,"[' A boy cooking on a grill .', ' A young boy grills steaks on a large stainless steel grill .', ' A young boy is cooking meat on a grill outside .', ' A young boy around the age of ten is cooking steaks on a grill outside on his wooden porch .', ' A young boy operates the barbecue .']","[0.38887131214141846, 0.3822670578956604, 0.38013795018196106, 0.37540552020072937, 0.37393948435783386]","['2634573005.jpg', '5651514000.jpg', '5651514000.jpg', '5651514000.jpg', '2634573005.jpg']",0,1,1,A young boy is cooking meat on a grill outside on his wooden porch.,A young boy is cooking meat on a grill outside on his wooden porch.,A young boy is cooking meat on a grill outside.,A young boy is cooking meat on a grill outside.
3265209567.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3265209567.jpg,"[' A dog biting the tail of a cow .', ' A small dog barks at a brown and white cow .', ' A brown and white cow jumps away from a black and white cattle dog .', ' a dog nipping at the feet of a cow .', ' A dog is herding a bucking cow .']","[0.3633546233177185, 0.3585831820964813, 0.35799840092658997, 0.35673758387565613, 0.3461841642856598]","['2170222061.jpg', '2582390123.jpg', '2547785434.jpg', '2546959333.jpg', '2547785434.jpg']",0,0,0,A dog is herding a bucking cow.,A dog is herding a bucking cow.,A dog nipping at the feet of a cow.,A dog nipping at the feet of a cow.
7249180494.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/7249180494.jpg,"[' A swim cap-clad man emerges from the water , taking a deep breath .', ' A swimmer is emerging from the water', ' A swimmer exits the water after a competition .', ' A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land .', ' a swimmer about to start a race .']","[0.35396692156791687, 0.35228052735328674, 0.35199102759361267, 0.3428361713886261, 0.34058552980422974]","['6177260197.jpg', '7249180494.jpg', '7249180494.jpg', '7249180494.jpg', '2345391999.jpg']",0,1,1,A swimmer is emerging from the water.,A swimmer is emerging from the water.,A swimmer is emerging from the water.,A swimmer is emerging from the water.
4329159924.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4329159924.jpg,"[' People are walking in a very tall arched atrium .', ' An old building with a long hallway and glass roof .', ' A tall building with people standing below and in the round green balconies in the breezeways .', ' People are walking inside a very tall , old building .', ' A shopping court in a city somewhere .']","[0.3130747079849243, 0.3114950358867645, 0.2698931396007538, 0.26728224754333496, 0.26648572087287903]","['4329159924.jpg', '4851907878.jpg', '4555563603.jpg', '4329159924.jpg', '4464415997.jpg']",1,1,1,"People are walking inside a very tall, old building.","People are walking inside a very tall, old building.",A group of people walking in a large building with a glass ceiling.,A group of people walking in a large building with a glass ceiling.
4477151562.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4477151562.jpg,"[' People walking the streets of Berlin .', ' Passerby walk about in a busy Asian street .', ' An old street with some people window-shopping .', ' Pedestrians walk through the city , passing a restaurant .', ' Pedestrians walking down the street passing The Temple Bar .']","[0.31790468096733093, 0.3151220977306366, 0.3119286298751831, 0.30747899413108826, 0.30719298124313354]","['4809027667.jpg', '275175200.jpg', '2664994682.jpg', '2105320784.jpg', '4761927608.jpg']",0,0,0,People walking the streets of Berlin.,People walking the streets of Berlin.,A busy street in Berlin with people walking and shopping.,A busy street in Berlin with people walking and shopping.
2905975229.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2905975229.jpg,"[' A man sits in a glider cockpit on the landing strip .', ' Two men in the cockpit of a small aircraft .', ' A pilot is driving a small engine airplane .', ' the dashboard of a small plane .', ' A person sitting in an airplane display .']","[0.3389824330806732, 0.33872148394584656, 0.3169628083705902, 0.30986180901527405, 0.3088086247444153]","['2905975229.jpg', '5573511334.jpg', '501989700.jpg', '2905975229.jpg', '3057497487.jpg']",1,1,1,A man sits in a glider cockpit on the landing strip.,A man sits in a glider cockpit on the landing strip.,A man sits in a glider cockpit on the landing strip.,A man sits in a glider cockpit on the landing strip.
52226520.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/52226520.jpg,"[' Two men , one with a blue shirt , are attempting to fix a bicycle which is upside down on a sidewalk .', ' A curly-haired man in a blue t-shirt is fixing his red bicycle , which is upside down on the sidewalk , with a friend wearing a black watch .', ' A bicycle repairman shows two men what was wrong with their bike .', ' Three men working on a bicycle on a cobblestone street .', ' One person repairing a bicycle while two others look on .']","[0.3858718276023865, 0.38176822662353516, 0.3805370032787323, 0.37662655115127563, 0.37537235021591187]","['2842122575.jpg', '2842122575.jpg', '7067778185.jpg', '52226520.jpg', '7067778185.jpg']",0,1,1,"Two men, one with a blue shirt, are attempting to fix a bicycle which is upside down on a","Two men, one with a blue shirt, are attempting to fix a bicycle which is upside down on a",A man in a blue shirt is fixing a bicycle with two other men.,A man in a blue shirt is fixing a bicycle with two other men.
8038838476.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/8038838476.jpg,"[' A cyclist in a blue jersey is being cheered by a crowd laced with French flags as he pedals away from other riders .', ' A bicyclist is cheered on by spectators as he takes the lead in a race .', ' A male Tour De France biker racing alone .', ' A cyclist is hanging in midair between two rows of spectators .', ' A man raises his arms in victory of crossing the finish line on his bike .']","[0.3112858533859253, 0.30654197931289673, 0.3046446144580841, 0.30412033200263977, 0.3039320409297943]","['8038838476.jpg', '8038838476.jpg', '7474041156.jpg', '7786624414.jpg', '7914606438.jpg']",1,1,1,A cyclist in a blue jersey is being cheered by a crowd laced with French flags as he pedals,A cyclist in a blue jersey is being cheered by a crowd laced with French flags as he pedals,A man riding a bike in front of a crowd.,A man riding a bike in front of a crowd.
7001949951.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/7001949951.jpg,"[' A woman paints a brown vase with white flowers .', ' A woman draws a floral design on a clay pot .', ' A woman paints a design on a vase .', ' An artist works diligently at painting a piece of ornate pottery .', ' A tan woman in an orange vest works with clay .']","[0.3919222950935364, 0.36604079604148865, 0.3554677963256836, 0.3487530052661896, 0.33587542176246643]","['7001949951.jpg', '7001949951.jpg', '4988974320.jpg', '4988974320.jpg', '1449163823.jpg']",1,1,1,A woman paints a brown vase with white flowers.,A woman paints a brown vase with white flowers.,A woman is painting a brown vase with white flowers.,A woman is painting a brown vase with white flowers.
2908391223.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2908391223.jpg,"[' A newly married couple laughs during their reception .', ' A couple sitting at a reception table , the man is laughing as he motions back and the woman is laughing motioning forward .', ' A bride and groom enjoy the reception .', ' Bride and Groom about to toast .', ' A newlywed couple laughing and talking amongst themselves .']","[0.3377789258956909, 0.3341563642024994, 0.32736799120903015, 0.3225497603416443, 0.3187689781188965]","['2908391223.jpg', '2908391223.jpg', '49320620.jpg', '49320620.jpg', '3544654074.jpg']",1,1,1,A newly married couple laughs during their reception.,A newly married couple laughs during their reception.,A newly married couple laughs during their reception.,A newly married couple laughs during their reception.
3057497487.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3057497487.jpg,"[' The plane is hanging from the ceiling in the museum .', ' These are modern pirates performing maintenance on their sailboat .', ' There are a lot of bikes parked under the curved roof tonight .', ' In a science museum looking through a telescope .', ' It is nighttime and 3 men that are trapeze artists performing simultaneously , one upside down on a motorcycle , one hanging from a bar underneath the first one and one at the bottom hanging upside down by his knees .']","[0.3288360834121704, 0.2899204194545746, 0.2838594913482666, 0.28011354804039, 0.2791995108127594]","['3057497487.jpg', '5391728144.jpg', '102268204.jpg', '5009467003.jpg', '4887197825.jpg']",1,1,1,The plane is hanging from the ceiling in the museum.,The plane is hanging from the ceiling in the museum.,A plane is hanging from the ceiling in a museum.,A plane is hanging from the ceiling in a museum.
4929731785.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4929731785.jpg,"[' A woman in a black tank top walks down the street .', ' A young women with brown hair walking down a city street in the rain .', ' A young woman in a black tank top screaming as she walks down the street', ' A woman walking down the street in the rain .', ' A woman walking in rain , with a black shirt on .']","[0.3272393047809601, 0.32092633843421936, 0.3160044252872467, 0.315133273601532, 0.31390583515167236]","['3539447637.jpg', '4929731785.jpg', '2383814994.jpg', '4929731785.jpg', '4929731785.jpg']",0,1,1,"A woman walking in rain , with a black shirt on.","A woman walking in rain , with a black shirt on.",A woman in a black tank top walks down the street.,A woman in a black tank top walks down the street.
4538960982.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4538960982.jpg,"[' Young man in camo pants carries a large metal box walks along the sidewalk .', ' A man wearing a green jumpsuit pushing a wagon is waiting to cross the street .', ' This man is walking past the building .', ' A man in khaki walking down a sidewalk .', ' A man in uniform is walking by a car .']","[0.3414125144481659, 0.32413190603256226, 0.3232879042625427, 0.3198300004005432, 0.3192846179008484]","['429270993.jpg', '2496523295.jpg', '4505846203.jpg', '1457162537.jpg', '4161829222.jpg']",0,0,0,A man in camo pants carries a large metal box and walks along the sidewalk.,A man in camo pants carries a large metal box and walks along the sidewalk.,A man in a green jacket is pushing a metal box.,A man in a green jacket is pushing a metal box.
6867197342.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/6867197342.jpg,"[' A tall , slightly overweight guy with brownish hair is plucking a bass instrument .', ' A young man is playing the electric cello in front of a woman .', ' A bassist and a guitarist are performing at a concert .', ' A female singer in a short dress holds a microphone in one of her two outstretched hands while a man plays an electric bass guitar in front of an amplifier .', ' A bald man is playing the bass on a dark stage .']","[0.3460342586040497, 0.34093767404556274, 0.33991700410842896, 0.33914443850517273, 0.3381219804286957]","['7286653258.jpg', '2679381280.jpg', '2351694146.jpg', '7920482014.jpg', '6867197342.jpg']",0,1,1,A bald man is playing the bass on a dark stage.,A bald man is playing the bass on a dark stage.,A man is playing a cello in front of a microphone.,A man is playing a cello in front of a microphone.
6082254728.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/6082254728.jpg,"[' Four ballerinas dancing on stage .', ' Three ballerinas perform an arabesque on stage , while another participant looks on .', ' Four ballerinas dancing on the stage .', ' Four to five ballerinas do a dance ensemble on stage for the masses .', ' The four beautiful ballerinas are on stage .']","[0.34013062715530396, 0.33299294114112854, 0.33294227719306946, 0.33007341623306274, 0.32568663358688354]","['4580085971.jpg', '3538315292.jpg', '5762196405.jpg', '5350952226.jpg', '5762196405.jpg']",0,0,0,Four ballerinas are dancing on stage.,Four ballerinas are dancing on stage.,Four ballerinas dancing on stage.,Four ballerinas dancing on stage.
2906759254.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2906759254.jpg,"[' Artist on street corner selling his artwork .', ' A man paints on an easel as people walk by .', ' 2 men in a busy city painting pictures with a canvas and easel .', ' Street vendor painting pictures .', ' A man draws a picture of a downtown landscape .']","[0.36332258582115173, 0.35640645027160645, 0.35428446531295776, 0.35379159450531006, 0.35355305671691895]","['3888575744.jpg', '2761119252.jpg', '2594547389.jpg', '4912320463.jpg', '2906759254.jpg']",0,1,1,A man paints on an easel as people walk by.,A man paints on an easel as people walk by.,A man is painting a picture of a cityscape.,A man is painting a picture of a cityscape.
2507431891.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2507431891.jpg,"[' Two guys drinking and making faces .', ' Two guys trying their luck at a karaoke singing contest .', ' Some guy stuffing his face at a get together .', ' One man lying down as his friend eats standing .', ' A man holds a drink , and another man drinks from a glass , while they both make silly faces .']","[0.3615085184574127, 0.35737544298171997, 0.3544783592224121, 0.34802842140197754, 0.34636178612709045]","['75902338.jpg', '403308982.jpg', '2455300855.jpg', '4730181452.jpg', '167282806.jpg']",0,0,0,Two guys trying their luck at a karaoke singing contest.,Two guys trying their luck at a karaoke singing contest.,Two men making faces while drinking.,Two men making faces while drinking.
331023909.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/331023909.jpg,"[' A sculpture made out of paper on the left with people in the background .', ' Over a dozen people surrounding and taking pictures of two people in all covered head to toe in all silver , in an artistic pose .', ' A man in the crowd records two people covered in aluminum foil .', ' A newspaper sculpture is in the middle of a crowded walkway .', ' A man painted in silver is trying to get the attention of the crowd passing by .']","[0.3866674304008484, 0.3606230616569519, 0.3569119870662689, 0.34773045778274536, 0.34749075770378113]","['331023909.jpg', '161948711.jpg', '161948711.jpg', '331023909.jpg', '4539916208.jpg']",1,1,1,A sculpture made out of paper on the left with people in the background.,A sculpture made out of paper on the left with people in the background.,A sculpture made out of paper on the left with people in the background.,A sculpture made out of paper on the left with people in the background.
