image_name,image_path,retrieved_captions,retrieved_scores,raw_rag,answer_rag,raw_no_rag,answer_no_rag
000000186938.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000186938.jpg,"['A little grey and white bird standing on a sandy beach.', 'A grey and white bird on sandy beach next to rocks.', 'a small bird standing on a rocky beach', 'A small bird standing on a rocky ground.', 'A bird standing in the sand surrounded by rocks and pebbles.']","[0.3242059350013733, 0.3186127543449402, 0.30834636092185974, 0.30474838614463806, 0.3019598424434662]",A little grey and white bird standing on a sandy beach.,A little grey and white bird standing on a sandy beach.,A small bird with a white belly and a black stripe on its head is standing on a sandy beach.,A small bird with a white belly and a black stripe on its head is standing on a sandy beach.
000000102411.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000102411.jpg,"['Two people sitting on a motorcycle in the street next to a beach.', 'Two people riding a motorcycle to the beach.', 'Two people are riding a motorcycle on the beach.', 'motor cycle riders stopping at a stop sign', 'A vehicle and a motor bike on the beach.']","[0.3660832941532135, 0.3587128520011902, 0.3492618203163147, 0.34700557589530945, 0.3344062864780426]",Two people are riding a motorcycle on the beach.,Two people are riding a motorcycle on the beach.,A man is sitting on a motorcycle at the beach.,A man is sitting on a motorcycle at the beach.
000000345941.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000345941.jpg,"['A plate with an ice cream dessert on it ', 'A dessert topped with ice cream, and strawberries sits on a plate.', 'A very artistic and tasty looking treat is in a plate.', 'A plate with strawberries and ice cream on a cake.', 'The waffle has banana slices and a strawberry in the middle.']","[0.3062519431114197, 0.2919366955757141, 0.27834564447402954, 0.277753621339798, 0.27658504247665405]",A dessert with ice cream and strawberries on a plate.,A dessert with ice cream and strawberries on a plate.,"A dessert plate with a waffle, ice cream, and a strawberry.","A dessert plate with a waffle, ice cream, and a strawberry."
000000514797.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000514797.jpg,"['A man in blue shorts putting together a blue and purple kite on a blue towel at the beach. ', 'At the seawall, the  gentlemen are holding up the kite ', 'A couple of men reaching up towards a blue kite.', 'Two people on the sand of a beach area with a man holding the strings to a large parachute that is partially on the sand.', 'Two people that are carrying a clear box kite. ']","[0.38428208231925964, 0.3658132255077362, 0.35888275504112244, 0.35500964522361755, 0.3518996238708496]",Two men are flying a kite near a lighthouse.,Two men are flying a kite near a lighthouse.,Two men flying a kite on a beach with a lighthouse in the background.,Two men flying a kite on a beach with a lighthouse in the background.
000000226802.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000226802.jpg,"[""An Asian city square, with people, buses, and a McDonald's."", 'THERE ARE CITY BUSES THAT ARE LINED ON THE STREET IN FRONT OF THE BUILDING ', 'a chinese street with a mcdonalds in the back drop', 'some red and black buses are parked and a building', 'Trolly in the middle of the city next to people.']","[0.3630799949169159, 0.3335767984390259, 0.32464462518692017, 0.31972864270210266, 0.3191535174846649]","An Asian city square with people, buses, and a McDonald's.","An Asian city square with people, buses, and a McDonald's.",A McDonald's restaurant with a large stage in front of it.,A McDonald's restaurant with a large stage in front of it.
000000060449.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000060449.jpg,"['A laptop on a table outside a balcony overlooking the ocean.', 'A laptop computer is on a glass table on a balcony.', 'a laptop on a table on balcony, blue sky.', 'Balcony overlooking beautiful site next to a tropical beach.', 'deck with lap top computer and desk top']","[0.3659673035144806, 0.3246458172798157, 0.32352253794670105, 0.31505095958709717, 0.2803567051887512]",A laptop on a table outside a balcony overlooking the ocean.,A laptop on a table outside a balcony overlooking the ocean.,A laptop is open on a table in front of a window with a view of the ocean.,A laptop is open on a table in front of a window with a view of the ocean.
000000488075.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000488075.jpg,"['The view of the door and kitchen area of an apartment from the living room.', 'Living room area with pass bar leading to kitchen in residence.', 'A clean and tidy living area with a kitchen and green accents.', 'The working and kitchen area of a dorm room', 'a large room that has both a kitchen and living room']","[0.32714077830314636, 0.3080563545227051, 0.30148422718048096, 0.2887178659439087, 0.28663599491119385]",A clean and tidy living area with a kitchen and green accents.,A clean and tidy living area with a kitchen and green accents.,"A living room with a couch, chair, and table with green pillows.","A living room with a couch, chair, and table with green pillows."
000000419201.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000419201.jpg,"['The adjacent farm land hills attest to the height of the soaring kite.', 'Three wild turkeys on top of the dried pasture.', 'A grassy field with kites being flown above', 'Adult males in large grassy field with large kite.', 'there seem to be very few animals on this field']","[0.31731098890304565, 0.3090836703777313, 0.3064526617527008, 0.2974756956100464, 0.2973751127719879]",Three wild turkeys on top of the dried pasture.,Three wild turkeys on top of the dried pasture.,A flock of birds are flying over a field.,A flock of birds are flying over a field.
000000396274.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000396274.jpg,"['Several broccoli plants planted next to a wall.', 'Some vegetables on the ground are in planters.', 'Planters with growing broccoli in them on the ground ', ""A broccoli plant growing in a garden is dwarfed by it's leaves."", 'The fresh vegetables are growing in the garden.']","[0.3176286220550537, 0.30241069197654724, 0.2957722246646881, 0.2931835353374481, 0.28931790590286255]",Several broccoli plants planted next to a wall.,Several broccoli plants planted next to a wall.,A garden with a variety of plants including some with white stems.,A garden with a variety of plants including some with white stems.
000000275198.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000275198.jpg,"['A family having lunch in their backyard in the rain.', 'A family holding umbrellas at a backyard barbecue.', 'A group of people holding umbrellas eating a meal outdoors.', 'A group of people around a metal table with umbrellas.', 'The children are seated outside at the picnic table to eat the birthday party food.']","[0.3680340051651001, 0.35988932847976685, 0.3394385874271393, 0.3282782733440399, 0.32651692628860474]",A family having lunch in their backyard in the rain.,A family having lunch in their backyard in the rain.,"A group of people are sitting around a table with plates of food and drinks, with two children holding umbrell","A group of people are sitting around a table with plates of food and drinks, with two children holding umbrell"
000000259571.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000259571.jpg,"['A group of men are riding in the back of a dump truck.', 'A group of people in the back of a dump-truck. ', 'Bunch of people sitting in the back of a dump truck', 'A group of people riding in the back of a truck.', 'A large group of men traveling on the back of a truck.']","[0.4104555547237396, 0.3902583122253418, 0.3654439151287079, 0.345736026763916, 0.33761143684387207]",A group of men are riding in the back of a dump truck.,A group of men are riding in the back of a dump truck.,A large yellow dump truck with a load of people in the back driving down a street.,A large yellow dump truck with a load of people in the back driving down a street.
000000174482.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000174482.jpg,"['a blue bike parked on a side walk ', 'A blue bicycle sits on a sidewalk near a street.', 'This is a bike locked to a parking meter.', 'A blue bicycle with a black basket on the front of it', 'A bike leaning up to a parking meter.']","[0.3449731469154358, 0.3335184156894684, 0.3198179006576538, 0.3158228099346161, 0.3111911714076996]",A blue bicycle with a black basket on the front of it.,A blue bicycle with a black basket on the front of it.,A blue bike is parked on the sidewalk by a tree.,A blue bike is parked on the sidewalk by a tree.
000000286507.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000286507.jpg,"['three red and black train engines and its cars and snow', 'Train engine pulling one freight car along rails', 'A long red train traveling through snow covered country side.', 'A train drives down its tracks next to a snow bank', 'A locomotive hauling a colorful train of boxcars. ']","[0.32019856572151184, 0.3165777325630188, 0.31432217359542847, 0.3129696547985077, 0.31095656752586365]",A long red train traveling through snow covered country side.,A long red train traveling through snow covered country side.,Train traveling down train tracks in the snow.,Train traveling down train tracks in the snow.
000000314264.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000314264.jpg,"['a man making a flower display in a vase on a wall', 'A man refreshing fake flowers in vases on a crypt wall', 'Traffic lights being repaired and/or replaced by a man.', 'A man is working on some parade floats.', 'a person placing flowers in a white vase attached to a wall']","[0.3633148968219757, 0.3484177589416504, 0.29628273844718933, 0.29449981451034546, 0.2843863070011139]",A man placing flowers in a white vase attached to a wall.,A man placing flowers in a white vase attached to a wall.,A man in a blue shirt is arranging flowers on a wall.,A man in a blue shirt is arranging flowers on a wall.
000000482319.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000482319.jpg,"['A man and a woman playing with a baby.', 'a man and woman play with a small child ', 'A woman is holding a baby with another young boy beside her.', 'A woman holding a birthday cake with one candle near a man with a baby in his lap.', 'a child in bed with a pacifier looks at a picture book while an adult looks on']","[0.32294097542762756, 0.3138405382633209, 0.3030531108379364, 0.2964005768299103, 0.2922138273715973]",A woman is holding a baby with another young boy beside her.,A woman is holding a baby with another young boy beside her.,A woman bending over a man who is holding a baby while another woman looks on.,A woman bending over a man who is holding a baby while another woman looks on.
000000185250.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000185250.jpg,"['Frisbee in the air, a dog squatting looking up at it, and a man standing behind the dog watching it, on the grass with a tree.', ""A man is walking with a cow who's sporting a red ribbon. "", 'A man standing next to a dog on the ground.', 'A man that is standing in the grass near animals.', 'A man throws a ball with to small boys in a yard as a dog runs around.']","[0.32131457328796387, 0.3202347755432129, 0.31641024351119995, 0.3142733573913574, 0.30998694896698]",A man is standing in the grass near animals.,A man is standing in the grass near animals.,"A man in an orange shirt and blue jeans is standing in a grassy area with a dog, and a fr","A man in an orange shirt and blue jeans is standing in a grassy area with a dog, and a fr"
000000059598.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000059598.jpg,"['A table with a laptop a plate with a muffin and a banana, a can and a cellphone.', 'A table topped with a laptop computer next to a plate of food.', 'a laptop on top of a table with a plate with food next to it.', 'A soda, banana and muffin are set near a laptop.', 'A plate of food placed next to a computer.']","[0.4226957857608795, 0.41167575120925903, 0.40347298979759216, 0.38894835114479065, 0.3852439224720001]","A table with a laptop a plate with a muffin and a banana, a can and a cellphone.","A table with a laptop a plate with a muffin and a banana, a can and a cellphone.","A laptop is open on a table with a banana, a can of beer, and a cupcake.","A laptop is open on a table with a banana, a can of beer, and a cupcake."
000000277005.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000277005.jpg,"['A busy bus station with ramp going downstairs.', 'Several people are leaving a bus station with a bus next to it as a person rides by on a bicycle', 'Advertisements covered bus stopped on a city street.', 'A contemporary light-rail train seen from the front is stopped in a station.', 'a bus stops to pick up some passengers']","[0.33953148126602173, 0.3197610378265381, 0.3102588951587677, 0.3099386692047119, 0.3082320988178253]",A busy bus station with ramp going downstairs.,A busy bus station with ramp going downstairs.,A street scene with a signpost and a bus stop.,A street scene with a signpost and a bus stop.
000000443844.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000443844.jpg,"['a person riding a skate board on a bench', 'A man in a black hat, white shirt and black pants jumping a skateboard off a bench. ', 'A man is jumping over a bench on a skateboard.', 'A man riding a skateboard on top of a wooden bench.', 'Boy riding a skate board over a concrete seat.']","[0.3993365466594696, 0.3726004660129547, 0.3725881278514862, 0.3688105046749115, 0.36533913016319275]","A man in a black hat, white shirt and black pants jumping a skateboard off a bench.","A man in a black hat, white shirt and black pants jumping a skateboard off a bench.",A man in a white shirt and black pants is skateboarding on a bench.,A man in a white shirt and black pants is skateboarding on a bench.
000000458663.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000458663.jpg,"['In the kitchen, there is a sink, stove, window and some cabinets.', 'View of kitchen sink, stainless refrigerator and breakfast room', 'A kitchen with a counter, window, stove and cutlery. ', 'The top window in a kitchen is open.', 'The picture shows the interior of a kitchen, with vintage refrigerator, stove, and other appliances.']","[0.31495562195777893, 0.30793383717536926, 0.29154807329177856, 0.28481778502464294, 0.2847444415092468]","A kitchen with a sink, stove, window and some cabinets.","A kitchen with a sink, stove, window and some cabinets.","A kitchen with a sink, stove, and a window with red curtains.","A kitchen with a sink, stove, and a window with red curtains."
000000061171.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000061171.jpg,"['All of the cows are poking their heads out, eating some hay. ', 'A horse and several cows feed on hay.', 'Several cows and a horse are eating hay.', 'A herd of black and white cows eating dry grass.', 'Cows and ponies are eating hay in the barn']","[0.33901917934417725, 0.3383653163909912, 0.32122358679771423, 0.3127160966396332, 0.30777034163475037]",A horse and several cows feed on hay.,A horse and several cows feed on hay.,A horse and cows eating hay in a snowy field.,A horse and cows eating hay in a snowy field.
000000542856.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000542856.jpg,"['A city bus carrying ads featuring women coming to town.', 'a large bus with a political ad on the side of it', 'A political candidate advertisement on the side of a coach bus.', 'Advertisements covered bus stopped on a city street.', 'A pink and white bus parked next to sidewalk and people.']","[0.38495776057243347, 0.3427261412143707, 0.33808717131614685, 0.32533934712409973, 0.3214181363582611]",A city bus with a Cindy Sherman advertisement on the side is parked on a city street.,A city bus with a Cindy Sherman advertisement on the side is parked on a city street.,A bus with a Cindy Sherman advertisement on the side is parked on a street.,A bus with a Cindy Sherman advertisement on the side is parked on a street.
000000410496.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000410496.jpg,"['a man plays tennis in front of a large audience', 'A man in a Lacoste shirt playing tennis outside.', 'A man plays tennis on a clay court', 'a male tennis player in a white shirt is holding his racket', 'a male tennis player in white shorts is playing tennis']","[0.3050951361656189, 0.30326271057128906, 0.30035826563835144, 0.29933425784111023, 0.2981189489364624]",A male tennis player in white shorts is playing tennis.,A male tennis player in white shorts is playing tennis.,A man in a white shirt and shorts playing tennis.,A man in a white shirt and shorts playing tennis.
000000524108.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000524108.jpg,"['A large number of chrome motorcycles parked together.', 'Motorycles parked and lined up beside each other', 'a bunch of parked motorcycles sit in it line ', 'a row of motorcycles parked on a city street', 'a bunch of motorcycles are parked on a street']","[0.3422826826572418, 0.33657267689704895, 0.33447617292404175, 0.32778552174568176, 0.3268619179725647]",A large number of chrome motorcycles are parked together.,A large number of chrome motorcycles are parked together.,A close up of a motorcycle with a chrome engine and black seat.,A close up of a motorcycle with a chrome engine and black seat.
000000251537.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000251537.jpg,"['There is a carrot next to some greens on the red cutting board.', 'A singke vegetable and some herbs that are sitting on a cutting board. ', 'An assortment of vegetables made into an interesting shape.', 'a thing of carrots that are laying on a board', 'A spoon laying beside a few big carrots']","[0.3285031020641327, 0.30789944529533386, 0.28475770354270935, 0.28421878814697266, 0.269368439912796]",A carrot and some greens are on a red cutting board.,A carrot and some greens are on a red cutting board.,A bunch of celery and parsley on a red cutting board.,A bunch of celery and parsley on a red cutting board.
000000368212.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000368212.jpg,"['Young toddler sitting on toilet bowl brushing teeth.', 'Baby brushing teeth while sitting on a toilet.', 'A toddler sits on a toilet while brushing his teeth.', 'A toddler with a toothbrush sitting on top of the lid of a toilet.', 'A toddler in the bathroom brushing his teeth']","[0.3870258033275604, 0.3672572672367096, 0.36234280467033386, 0.3535451889038086, 0.3376501202583313]",A toddler in the bathroom brushing his teeth.,A toddler in the bathroom brushing his teeth.,A toddler is sitting on a toilet with a toothbrush in his mouth.,A toddler is sitting on a toilet with a toothbrush in his mouth.
000000221708.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000221708.jpg,"['A wood paneled kitchen with dining table and tiled floor.', 'A kitchen with a stove, sink, table, chairs and couches.', 'a room showing a very big fridge and a dining table', 'A kitchen area with a chair, tiled floor and a refrigerator.', 'a kitchen with a stove a table some chairs and a sink']","[0.3372521996498108, 0.3263093829154968, 0.3179153501987457, 0.3106171190738678, 0.30823782086372375]",A wood paneled kitchen with a table and chairs.,A wood paneled kitchen with a table and chairs.,A kitchen with a table and chairs in it.,A kitchen with a table and chairs in it.
000000075456.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000075456.jpg,"['A pizza with Canadian bacon and pineapple in a fluted pan.', 'A pineapple and ham pizza in a pizza tin', 'A pizza that is sitting on a plastic tray.', 'Small personal pizza on a crust made of rice.', 'A strange pizza made from rice and fish and vegetables.']","[0.35866206884384155, 0.3574799597263336, 0.3126027584075928, 0.3020583689212799, 0.3004121482372284]",A pizza with Canadian bacon and pineapple in a fluted pan.,A pizza with Canadian bacon and pineapple in a fluted pan.,A pizza with ham and pineapple toppings is on a silver tray.,A pizza with ham and pineapple toppings is on a silver tray.
000000225670.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000225670.jpg,"['A large black dog leaping to get a frisbee. ', 'A dog competing in a long jump in to water contest', 'a black dog in the air catching a frisbee', 'A dog leaping into the air to catch a frisbee.', 'A black and white dog jumping up catching a Frisbee.']","[0.3546452224254608, 0.3521183133125305, 0.3498906195163727, 0.3477669656276703, 0.3406263589859009]",A large black dog leaping to get a frisbee.,A large black dog leaping to get a frisbee.,A dog jumps to catch a frisbee at a dog show.,A dog jumps to catch a frisbee at a dog show.
000000423617.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000423617.jpg,"['A bus and a few cars are riding in the rain.', 'a red and white bus and some cars in the rain', 'Two city buses traveling down a rain covered road way.', 'The rail trolley is driving in front of other automobiles. ', 'A bus and other cars are traveling on a street.']","[0.37015506625175476, 0.356284499168396, 0.34067654609680176, 0.3400171995162964, 0.33473941683769226]",A bus and other cars are traveling on a street.,A bus and other cars are traveling on a street.,A yellow taxi is driving down a street with a bus and a car behind it.,A yellow taxi is driving down a street with a bus and a car behind it.
000000227478.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000227478.jpg,"['A black and white photo of a couple sitting on two park benches.', 'Two people are sitting on chairs talking on at a corner.', 'two people sitting on a bench near trees', 'A couple of guys that were eating and are now on their cell phones.', 'Two young boys sitting on a bench texting on their cell phones.']","[0.3567807376384735, 0.33460912108421326, 0.3323991000652313, 0.32858800888061523, 0.3272479772567749]",Two people are sitting on a bench near trees.,Two people are sitting on a bench near trees.,Two women sitting on a bench in a park.,Two women sitting on a bench in a park.
000000429109.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000429109.jpg,"['a bus and some cars parked outside a station', 'The buses are parked next to the pole.', 'Several buses on a street near a covered bus stop.', 'Double-Decker buses line up at a bus stop.', 'some red and black buses are parked and a building']","[0.33592724800109863, 0.33451327681541443, 0.33154505491256714, 0.3281710743904114, 0.32524046301841736]",Several buses on a street near a covered bus stop.,Several buses on a street near a covered bus stop.,A white van with the words Uno Express on the side is parked in a lot with a red and white bus behind,A white van with the words Uno Express on the side is parked in a lot with a red and white bus behind
000000016958.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000016958.jpg,"['A living room with an old fireplace and desk.', 'View of two desks with chairs next to a fireplace in an old style living room.', 'A room with furniture and a fire place.', 'A sitting room with old furniture roped off to the public. ', 'A room with a fireplace and a wooden table.']","[0.3376654088497162, 0.33612582087516785, 0.32989782094955444, 0.32868126034736633, 0.3232758939266205]",A living room with an old fireplace and desk.,A living room with an old fireplace and desk.,"A room with a fireplace, chair, and cabinet.","A room with a fireplace, chair, and cabinet."
000000479912.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000479912.jpg,"['View from gate of jet connected to jet way for passengers to board or deplane', 'The airplane is on the ground, but getting ready for takeoff.', 'some planes on an air port run way', 'A JAL jetliner on the tarmac at an airport.', 'An airplane pulled up to a gate on the tarmac.']","[0.3277953267097473, 0.31604939699172974, 0.31253185868263245, 0.31060683727264404, 0.31055498123168945]",An airplane is on the tarmac at an airport.,An airplane is on the tarmac at an airport.,A large airplane is parked on the tarmac with jet fuel trucks nearby.,A large airplane is parked on the tarmac with jet fuel trucks nearby.
000000575357.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000575357.jpg,"['A dog chasing a coaster frisbee in a field near a wire fence.', 'A dog runs after a frisbee by a fence.', 'A brown curly haired dog chasing after a red frisbee', 'A brown dog leaping to catch a flying disc.', 'A dog leaping to catch a red frisbee.']","[0.37258318066596985, 0.34121307730674744, 0.3141156733036041, 0.3134974241256714, 0.306535005569458]",A brown dog leaping to catch a red frisbee.,A brown dog leaping to catch a red frisbee.,A dog is jumping in the air to catch a red frisbee.,A dog is jumping in the air to catch a red frisbee.
000000357567.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000357567.jpg,"['a bathroom with a toilet and a blue striped shower curtain.', 'A shower curtain sits open in an empty and clean bathroom. ', 'The shower curtain is centered in the middle of the tub.', 'A small bathroom with the shower curtains open.', 'A view of a bathroom with the shower curtain open.']","[0.3535690903663635, 0.32919827103614807, 0.3248421251773834, 0.32138773798942566, 0.3169538080692291]",A small bathroom with the shower curtains open.,A small bathroom with the shower curtains open.,"A bathroom with a toilet, a shower curtain, and a rug.","A bathroom with a toilet, a shower curtain, and a rug."
