image_name,image_path,retrieved_captions,retrieved_scores,raw_rag,answer_rag,raw_no_rag,answer_no_rag
633456174.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/633456174.jpg,"[' A boy throws an object in front of a glass building .', ' A young buy riding his skateboard outside on a handrail .', ' A young man in a green shirt is jumping with his skateboard over three steps in front of a skyscraper .', ' A young boy is playing with a slinky in the street', ' A boy wearing skates sliding down concrete railing of steps near a pole .']","[0.39596810936927795, 0.33421793580055237, 0.3289540112018585, 0.32859349250793457, 0.3253040611743927]",A boy throws an object in front of a glass building.,A boy throws an object in front of a glass building.,A man in a black shirt and jeans is standing in front of a glass building.,A man in a black shirt and jeans is standing in front of a glass building.
411175971.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/411175971.jpg,"[' A brown dog wades through water and walks toward a rock .', ' A dog on the beach shaking off water', ' A girl walking through shallow water with a dog behind her .', ' A dog wading through shallow water .', ' A wrinkled dog wading in shallow water .']","[0.34302669763565063, 0.33648473024368286, 0.3303154706954956, 0.32971999049186707, 0.328875333070755]",A dog wades through water and walks toward a rock.,A dog wades through water and walks toward a rock.,A dog is standing in shallow water on a beach.,A dog is standing in shallow water on a beach.
3694093650.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3694093650.jpg,"[' A group of people are dressed up in costumes in the woods .', ' A group in costume sings at a renaissance fair .', ' The people in white and maroon clothes are in a wooden building .', ' A group of people dressed in costumes singing .', ' Man people in America Revolution era outfits enter a trailer .']","[0.31853288412094116, 0.3093416094779968, 0.29217618703842163, 0.28944820165634155, 0.28123801946640015]",A group of people are dressed up in costumes in the woods.,A group of people are dressed up in costumes in the woods.,"A group of people in costume are gathered together, some standing and some sitting, in a dimly lit area.","A group of people in costume are gathered together, some standing and some sitting, in a dimly lit area."
3591094476.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3591094476.jpg,"[' A man dressed in black is standing above a white dog .', ' Man in black pants and vest balances between to pillars , holding two flaming torches in his right hand .', ' An Asian man is standing in front of dead pigs .', ' a woman and a dog both with the butts turned towards the camera', ' A young man walks his dog down some steps where a black-clad woman is sitting']","[0.31921687722206116, 0.2920056879520416, 0.27398839592933655, 0.2654096484184265, 0.256232351064682]",A woman in a black jacket and plaid pants stands between two dogs.,A woman in a black jacket and plaid pants stands between two dogs.,A woman with a pink hat and a pug on a leash stand next to another pug.,A woman with a pink hat and a pug on a leash stand next to another pug.
1918894054.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/1918894054.jpg,"[' A female speaker wearing a gray jacket , a dark scoop necked top with a dark knee length skirt is presenting to a group using a computer to present as well as a microphone at the podium .', ' A woman stands at a podium with a slide show behind her .', ' An older women in a white shirt is using a microphone to speak to a crowd of students .', ' A woman about to give a speech .', ' A lady wearing a short black dress addresses a crowd of young people from a stage .']","[0.3373948037624359, 0.301079124212265, 0.29111412167549133, 0.2906419634819031, 0.28126707673072815]",A woman stands at a podium with a slide show behind her.,A woman stands at a podium with a slide show behind her.,A woman is giving a speech at a podium.,A woman is giving a speech at a podium.
439569646.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/439569646.jpg,"[' A toddler sticks paper "" P "" letters to a wood paneled wall .', ' A little girl using a red brush to brush her hair .', ' A small , child on her hands and knees , appears to be wiping tiles with a cloth .', ' A little girl in a play room .', ' A boy sticks his head through a gap between red striped fabric partitions .']","[0.3562476336956024, 0.3332590162754059, 0.32672902941703796, 0.32627713680267334, 0.326006680727005]",A little girl in a red dress is sitting on the floor.,A little girl in a red dress is sitting on the floor.,A little girl in a red dress is sitting on a red carpet.,A little girl in a red dress is sitting on a red carpet.
512761651.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/512761651.jpg,"[' A group of people walking through a cite .', ' A man walks down a very thin walkway between buildings .', ' Man and woman walking along a walkway surrounded by high buildings with tunnels to walk through between buildings .', ' A man walking across a bridge near a steak restaurant .', ' People are walking around a park area .']","[0.32382452487945557, 0.32114192843437195, 0.31895002722740173, 0.3156145215034485, 0.31507408618927]",A man walks down a very thin walkway between buildings.,A man walks down a very thin walkway between buildings.,A man in a suit walks down a sidewalk with a large bird sculpture above him.,A man in a suit walks down a sidewalk with a large bird sculpture above him.
531347711.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/531347711.jpg,"["" A toddler in a white shirt is standing in front of a blue kid 's bike ."", ' A man helps a young girl balance on a bicycle that is too big for her .', ' A child in a bicycle helmet and a man in casual clothing are crouched next to a toy tricycle , pretending to fix it .', ' A little girl wearing an orange and white dress is being taught how to ride her green-colored bicycle by her father .', ' A man helps a young girl ride a scooter with a red bow on it .']","[0.3525956869125366, 0.33304068446159363, 0.33158501982688904, 0.32608237862586975, 0.3222823441028595]",A man helps a young girl balance on a bicycle that is too big for her.,A man helps a young girl balance on a bicycle that is too big for her.,A man helping a little girl ride a bike.,A man helping a little girl ride a bike.
5651514000.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/5651514000.jpg,"[' A young boy is cooking meat on a grill outside .', ' A boy wearing a gray jacket and shorts brushes sauce on several pieces of meat on a grill .', ' Man in blue shirt focusing on grilling hamburgers .', ' A young man , wearing a white shirt , prepares hotdogs on a small grill .', ' A man in a blue shirt cooks hamburgers on a grill .']","[0.38013795018196106, 0.3714987635612488, 0.34698471426963806, 0.34277859330177307, 0.3368455767631531]",A young boy is cooking meat on a grill outside.,A young boy is cooking meat on a grill outside.,A boy grilling meat on a barbecue outdoors.,A boy grilling meat on a barbecue outdoors.
3265209567.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3265209567.jpg,"[' a dog nipping at the feet of a cow .', ' a small dog chasing after a bucking cow', "" A brown dog biting a horse 's leg ."", ' A small dog chases after a large brown cow .', ' A brown dog and a brown and white dog romp in the grass']","[0.35673758387565613, 0.34265926480293274, 0.3392575681209564, 0.3384312391281128, 0.31395459175109863]",A small dog chases after a large brown cow.,A small dog chases after a large brown cow.,A brown and white dog is running in the grass with its mouth open.,A brown and white dog is running in the grass with its mouth open.
7249180494.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/7249180494.jpg,"[' A white man splashes out of open water .', ' A swimmer wearing a black cap surfaces for air .', ' A swimmer in a blue head cap is racing others .', ' A man is near water in a city and is dressed in a wetsuit , snorkel mask , and helmet .', ' A large group of swimmers entering the water .']","[0.33086732029914856, 0.3248254060745239, 0.32011789083480835, 0.3170684278011322, 0.3165590465068817]",A man in a blue wetsuit and yellow cap is splashing water as he emerges from the lake.,A man in a blue wetsuit and yellow cap is splashing water as he emerges from the lake.,A man in a wetsuit and yellow cap is splashing through the water while being held by another person.,A man in a wetsuit and yellow cap is splashing through the water while being held by another person.
4329159924.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4329159924.jpg,"[' Man and woman walking along a walkway surrounded by high buildings with tunnels to walk through between buildings .', ' Two people are walking towards a domed structure .', ' A crane helps window cleaners get to the highest windows of Italy .', ' A group of tourists walking around the vatican courtyard .', ' Three glass elevators are full of people in an intricate building .']","[0.24631157517433167, 0.24575720727443695, 0.24400748312473297, 0.23634149134159088, 0.23259714245796204]",People walking down a staircase in a building with a glass ceiling.,People walking down a staircase in a building with a glass ceiling.,People walking up a flight of stairs in a building with a glass roof.,People walking up a flight of stairs in a building with a glass roof.
4477151562.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4477151562.jpg,"[' People walking the streets of Berlin .', ' A man entering a busy street .', ' People in the city .', ' A busy city street as people are walking .', ' A broad shot of a busy street in a lull']","[0.31790468096733093, 0.298536092042923, 0.29248782992362976, 0.29150262475013733, 0.28789544105529785]",A busy city street as people are walking.,A busy city street as people are walking.,A black and white photo of people walking down a street with red and white signs.,A black and white photo of people walking down a street with red and white signs.
2905975229.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2905975229.jpg,"[' Two men in the cockpit of a small aircraft .', ' A person sitting in an airplane display .', ' These people are flying a plane .', ' Even in cooler weather men will get out and play with their model planes .', ' Three elderly men resolve issues on their mechanical fly-plane .']","[0.33872148394584656, 0.3088086247444153, 0.27862611413002014, 0.26834332942962646, 0.2646838128566742]",Two men in the cockpit of a small aircraft.,Two men in the cockpit of a small aircraft.,A person is sitting in the cockpit of a small airplane with a view of the runway and other people in,A person is sitting in the cockpit of a small airplane with a view of the runway and other people in
52226520.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/52226520.jpg,"[' A curly-haired man in a blue t-shirt is fixing his red bicycle , which is upside down on the sidewalk , with a friend wearing a black watch .', ' One person repairing a bicycle while two others look on .', ' Two men repairing a red bike .', "" Two men test a bike 's back wheel ."", ' Three men sit around a broken bicycle wheel .']","[0.38176822662353516, 0.37537235021591187, 0.3672298192977905, 0.34360116720199585, 0.3415739834308624]",Two men repairing a red bike.,Two men repairing a red bike.,A man in a blue shirt and a man in a red shirt are fixing a blue bicycle.,A man in a blue shirt and a man in a red shirt are fixing a blue bicycle.
8038838476.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/8038838476.jpg,"[' A bicyclist is cheered on by spectators as he takes the lead in a race .', ' A male bicyclist throws his arms up in victory as he crosses the finish line on a paved roadway .', ' A man in a bicycle throws his hands up in victory as he crosses the finish line .', ' The beginning of a cycling race passes by the crowd .', ' Man is determined to bike his way to the finish !']","[0.30654197931289673, 0.2891569137573242, 0.2868928015232086, 0.28052228689193726, 0.27370625734329224]",A bicyclist is cheered on by spectators as he takes the lead in a race.,A bicyclist is cheered on by spectators as he takes the lead in a race.,A cyclist riding down a street with a Dutch flag being waved by a crowd of people.,A cyclist riding down a street with a Dutch flag being waved by a crowd of people.
7001949951.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/7001949951.jpg,"[' Woman with yellow button up shirt and jeans is making beautiful pottery etchings into one of her works of art .', ' a girl painting pottery .', ' A woman getting her hands dirty while working with homemade pottery .', ' An older woman in a red shirt forming sculpting clay pots .', ' A woman wearing an apron inspects a large pot on a table filled with cups , bowls , pots and baskets of assorted size .']","[0.32192108035087585, 0.30773988366127014, 0.30326420068740845, 0.295383095741272, 0.2944501042366028]",A woman in a yellow shirt is working on a pottery piece.,A woman in a yellow shirt is working on a pottery piece.,A woman is painting a vase with a design on it.,A woman is painting a vase with a design on it.
2908391223.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2908391223.jpg,"[' A couple laughing and having a good time .', ' a man and a woman are laughing together', ' A man and woman sitting and laughing .', ' A man and women at their wedding reception talking with friends and family .', ' A bride and groom slow-dancing while the wedding guests watch .']","[0.3035317063331604, 0.30349165201187134, 0.28584063053131104, 0.2834216058254242, 0.2818550169467926]",A man and woman sitting and laughing.,A man and woman sitting and laughing.,A man and a woman are sitting at a table smiling.,A man and a woman are sitting at a table smiling.
3057497487.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3057497487.jpg,"[' A large mechanical claw reaching for something with people watching .', ' A dark stage set is under construction .', ' A person is in the air on a contraption that resembles a bicycle .', ' this is a mirrored ceiling in a cafeteria .', ' A play wooden ship that children can climb on and play in .']","[0.2617095708847046, 0.2600340247154236, 0.2523488998413086, 0.25141641497612, 0.24467258155345917]",A person is in the air on a contraption that resembles a bicycle.,A person is in the air on a contraption that resembles a bicycle.,A large airplane suspended from the ceiling in a room.,A large airplane suspended from the ceiling in a room.
4929731785.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4929731785.jpg,"[' A woman walking down the street in the rain .', ' A woman exits a yellow cab in the city .', ' A young woman waits on a busy street at night .', ' A woman in the street with a black shirt and stars with her mouth open .', ' A young woman in a black shirt walking down a city street .']","[0.315133273601532, 0.30859091877937317, 0.30237627029418945, 0.2985338270664215, 0.29509270191192627]",A woman in a black shirt is walking down a city street in the rain.,A woman in a black shirt is walking down a city street in the rain.,A woman is walking in the rain in a city.,A woman is walking in the rain in a city.
4538960982.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4538960982.jpg,"[' Young man in camo pants carries a large metal box walks along the sidewalk .', ' A man in New York City walking down the sidewalk .', ' A man is walking and can be seen between two pillars .', ' A man in the street staring at a cart .', ' A black man walking down a sidewalk .']","[0.3414125144481659, 0.31323397159576416, 0.3030286729335785, 0.2998131811618805, 0.297591894865036]",A man in camo pants carries a large metal box and walks along the sidewalk.,A man in camo pants carries a large metal box and walks along the sidewalk.,A man is walking with a brown trash can.,A man is walking with a brown trash can.
6867197342.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/6867197342.jpg,"[' A bassist and a guitarist are performing at a concert .', ' A man singing with his eyes closed and holding a microphone , with a woman behind him playing an electric bass guitar .', ' A bassist on a musical set strums notes on his bass guitar , with a drummer sitting behind him at a drum set .', ' A man in a white shirt plays the cello next to a woman in black playing a harp .', ' Two musicians on stage in front of a microphone stand .']","[0.33991700410842896, 0.33729538321495056, 0.31866925954818726, 0.31465524435043335, 0.3138852119445801]","A man singing with his eyes closed and holding a microphone, with a woman behind him playing an electric bass guitar.","A man singing with his eyes closed and holding a microphone, with a woman behind him playing an electric bass guitar.",A man is playing a double bass on a stage.,A man is playing a double bass on a stage.
6082254728.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/6082254728.jpg,"[' Four ballerinas dancing on the stage .', ' On a stage , dancers with tutus and guitars are performing for the audience .', ' Four girls are in a ballet .', ' Dancers perform on stage .', ' 5 people dressed in purple dance on a black stage with a blue curtain behind them .']","[0.33294227719306946, 0.3109142482280731, 0.306776762008667, 0.289228618144989, 0.28037816286087036]",Four ballerinas dancing on the stage.,Four ballerinas dancing on the stage.,A group of ballet dancers are performing on stage.,A group of ballet dancers are performing on stage.
2906759254.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2906759254.jpg,"[' An artist wearing a red jacket and blue jeans painting on the street while wearing headphones .', ' A man with a video camera is taping while another paints art while onlookers pass by .', ' An artist painting standing in the street painting his scenery of a red and white building .', ' A man paints a colorful picture on the street .', ' An artist paints a picture in a outdoor public area while several men sitting on benches chat , read and eat .']","[0.34573879837989807, 0.32555297017097473, 0.3251126706600189, 0.32026025652885437, 0.31911343336105347]","An artist paints a picture in an outdoor public area while several men sitting on benches chat, read and eat.","An artist paints a picture in an outdoor public area while several men sitting on benches chat, read and eat.",A man in a red jacket is painting a picture of a map on an easel in a park.,A man in a red jacket is painting a picture of a map on an easel in a park.
2507431891.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2507431891.jpg,"[' Two guys , on in a maroon sweater , the other in a light blue , are shirt sitting around playing video games .', ' Two guys acting goofy while they drink beer and pose for a camera .', ' Two friends are out goofing around and having some fun .', ' 2 guys are eating at a party .', ' Two man playing a game and disturbing .']","[0.34581315517425537, 0.342822790145874, 0.3379501700401306, 0.33630385994911194, 0.3352075219154358]",Two men are playing a game and one is yelling.,Two men are playing a game and one is yelling.,Two men playing a video game and one is yelling.,Two men playing a video game and one is yelling.
331023909.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/331023909.jpg,"[' A young man in a suit standing out from the crowd , at what appears to be an art exhibition .', ' A man enjoys some extravagant artwork .', ' A young man and women near a large metal sculpture', ' A man with glasses and black jacket stands as he sculpts a strange-shaped sculpture .', ' Group of people watch a man in a blindfold swing at a pinata .']","[0.3263355791568756, 0.32121244072914124, 0.31121543049812317, 0.31018728017807007, 0.3032858073711395]",A man with glasses and black jacket stands as he sculpts a strange-shaped sculpture.,A man with glasses and black jacket stands as he sculpts a strange-shaped sculpture.,A group of people are standing in a room with a large sculpture made of newspaper and a flag hanging on the wall,A group of people are standing in a room with a large sculpture made of newspaper and a flag hanging on the wall
467658231.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/467658231.jpg,"[' A man sits at a table outside and looks toward the horizon .', ' A man is at an overlook point staring out across a valley by using binoculars .', ' A black man sitting on the ground with a beverage in front of him .', ' A mountain climber stops for a drink .', ' Two barefoot young African boys in brightly colored clothing are sitting on a stone floor , one holding a clear bottle of water with a second , blue bottle on the floor between his legs .']","[0.29196521639823914, 0.29196107387542725, 0.2915176749229431, 0.29032936692237854, 0.287997841835022]",A man sits on a rock with a water bottle in front of him.,A man sits on a rock with a water bottle in front of him.,A man in a green outfit sits on a rock with a water bottle next to him.,A man in a green outfit sits on a rock with a water bottle next to him.
4556002396.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4556002396.jpg,"[' A gray-haired man in a black trench coat stands with another gray-haired man with a long gray jacket talking .', ' A man telling a story with many onlookers watching .', ' A blond-haired man is doing a demonstration in front of a small crowd of people .', ' A large group of people holding signs and an elderly man with a red sports coat , multicolored tie and sailor cap talking with a young girl .', ' A man in a vest and tie holding a flaming stick in a crowded area .']","[0.24620307981967926, 0.23761111497879028, 0.23600541055202484, 0.23368023335933685, 0.2329481691122055]",A man in a black coat is surrounded by people and holding a red ribbon.,A man in a black coat is surrounded by people and holding a red ribbon.,A man in a black coat is surrounded by people and is wearing a red rosette on his lapel.,A man in a black coat is surrounded by people and is wearing a red rosette on his lapel.
3225058391.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3225058391.jpg,"[' The man in orange just released his arrow .', ' Two men in red and orange jackets leaning on poles in the snow .', ' Person in orange pant skiing in an event sponsored by VISA .', ' People in line with their skis at a ski resort .', ' Two members of the coast guard manning a mounted machine gun .']","[0.2827974557876587, 0.2822178304195404, 0.2819897532463074, 0.28115952014923096, 0.2804142236709595]",A man in an orange jacket is holding up a pair of skis.,A man in an orange jacket is holding up a pair of skis.,A person in an orange jacket is holding up a pair of skis.,A person in an orange jacket is holding up a pair of skis.
4717966711.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4717966711.jpg,"[' A woman in a blue shirt with a backpack eating a hotdog .', ' A woman is eating something in public .', ' A woman enjoying some food with her thumb in her mouth .', ' A woman making a grumpy face while eating seafood .', ' Woman about to eat a sandwich .']","[0.3187774419784546, 0.3168880343437195, 0.316538006067276, 0.31245580315589905, 0.30639535188674927]",A woman in a blue shirt with a backpack eating a hotdog.,A woman in a blue shirt with a backpack eating a hotdog.,A woman eating a piece of food while other people stand around her.,A woman eating a piece of food while other people stand around her.
6887014469.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/6887014469.jpg,"[' A woman with five kids all around her with a smile on her face .', ' Two ladies in jeans stood in front of three young children with fair hair .', ' A woman and four children stand side by side against a wall .', ' A woman is pictured with three small children .', ' A woman and three children .']","[0.34932205080986023, 0.34311139583587646, 0.33420494198799133, 0.3316374719142914, 0.32238802313804626]",A woman with five kids all around her with a smile on her face.,A woman with five kids all around her with a smile on her face.,A group of children posing for a picture with a woman in a striped shirt.,A group of children posing for a picture with a woman in a striped shirt.
4074803780.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4074803780.jpg,"[' A man in a bight yellow shirt carries his wears to market in a large basket on his head .', ' A per wearing a yellow shirt is walking down the street carrying a large basket .', ' A man carrying many bags of cans probably going to sell the for scraps .', ' A man approaches a street corner with carrying a basket of fruit on his head .', ' A man in a rice hat is carrying a lot of objects .']","[0.41262322664260864, 0.3250495195388794, 0.31953927874565125, 0.31001758575439453, 0.3093727231025696]",A man in a bight yellow shirt carries his wears to market in a large basket on his head.,A man in a bight yellow shirt carries his wears to market in a large basket on his head.,A man in a yellow shirt carries a basket of food on his head while walking down a busy street.,A man in a yellow shirt carries a basket of food on his head while walking down a busy street.
3444982197.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3444982197.jpg,"[' Two men staring into space .', ' A man in a purple shirt looking at a man in a black shirt making a silly face .', ' Two men are sitting and its a nighttime .', ' A curly-haired man is talking or possibly debating with a blond-haired man in front of a table .', ' two gay guys having fun with a weiner']","[0.3299550712108612, 0.312794029712677, 0.29990553855895996, 0.2996545433998108, 0.29826676845550537]",Two men in shirts are sitting and looking at each other.,Two men in shirts are sitting and looking at each other.,"Two men sitting next to each other, one wearing a purple shirt and the other wearing a black shirt","Two men sitting next to each other, one wearing a purple shirt and the other wearing a black shirt"
