image_name,image_path,retrieved_captions,retrieved_scores,retrieved_image_names,hit@1,hit@5,hit@10,raw_rag,answer_rag
633456174.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/633456174.jpg,"[' A boy throws an object in front of a glass building .', ' a young man is performing a roller-blade jump in front of a glass building .', ' a young male playing with bubbled outside of a business', ' A young adult male , wearing a black shirt and black pants , balances on one leg atop modern architecture .', ' A young man playing with a large yo-yo .', ' An Asian man wearing black pants is kicking a toy .', ' A boy with curly hair and a black shirt is balancing on his skateboard on a ledge .', ' A male child touching a tube with spirals .', ' Boy in black shirt on one foot standing on metal rail above green grass on right and black pavement on left .', ' A boy in jeans and a black shirt skating down a stair rail .']","[0.39596810936927795, 0.36223191022872925, 0.3522777259349823, 0.3510497212409973, 0.3468637764453888, 0.3389708995819092, 0.33834031224250793, 0.3375568389892578, 0.33636346459388733, 0.33570218086242676]","['633456174.jpg', '5130882483.jpg', '4593093015.jpg', '6039214277.jpg', '6825723456.jpg', '3490613884.jpg', '3309230607.jpg', '946102063.jpg', '2696636252.jpg', '2877088081.jpg']",1,1,1,A boy in a black shirt and jeans balances on a metal rail in front of a glass building.,A boy in a black shirt and jeans balances on a metal rail in front of a glass building.
411175971.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/411175971.jpg,"[' A dog walking on a wet beach .', ' A wet , blond dog carries a stick on the shore .', ' The wet , brown dog has a stick in his mouth and is running in the sand next to the water .', ' A brown dog is shown standing in the water near a muddy beach .', ' A brown dog steps into murky water .', ' A dog walks in a foggy place .', ' A dog walks on the sand along the water .', ' A brown dog and a red dog frolicking on the waters edge on the beach .', ' Orange dog walks in shallow water .', ' A wet tan dog running across a beach .']","[0.3710615038871765, 0.36016714572906494, 0.3586592376232147, 0.35634568333625793, 0.35577133297920227, 0.3485029935836792, 0.34691691398620605, 0.3454738259315491, 0.3449665904045105, 0.34444549679756165]","['418357172.jpg', '2826769554.jpg', '2826769554.jpg', '411175971.jpg', '3109136206.jpg', '3166969425.jpg', '3151365121.jpg', '2658009523.jpg', '2869765795.jpg', '3466353172.jpg']",0,1,1,A brown dog walks in shallow water on a beach.,A brown dog walks in shallow water on a beach.
3694093650.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3694093650.jpg,"[' A group of costumed young people gathered in an underground structure .', ' There is a group of many adults around a fake pirate ship dressed up as pirates .', ' A group of people dressed as pirates are in a cardboard cut out of a ship .', ' A group of people are standing in a wooded area dressed in costumes and drinking beer .', ' A group of people are dressed up in costumes in the woods .', ' A group of men in period clothing are standing in front of a hut .', ' A group of costumed adults , including a devil and a sorcerer , look on as a man dressed as a sea captain speaks into a microphone while standing next to a man in a brown suit who is holding a large fruit basket .', ' People in pirate outfits are playing in a band .', ' Costumed entertainers taking a break .', ' Four men in Revolutionary War era costumes face a crowd .']","[0.356851190328598, 0.33529356122016907, 0.3313019275665283, 0.3210199475288391, 0.31853288412094116, 0.3167726695537567, 0.313457190990448, 0.31260180473327637, 0.31074607372283936, 0.31018200516700745]","['4552849473.jpg', '4830258067.jpg', '4830258067.jpg', '57691053.jpg', '161329629.jpg', '3694093650.jpg', '3031792444.jpg', '3646190566.jpg', '4955005678.jpg', '5902223492.jpg']",0,0,1,A group of people are dressed up in costumes in the woods.,A group of people are dressed up in costumes in the woods.
3591094476.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3591094476.jpg,"[' A person stands with two leashed pugs and wears plaid pants with a black shirt set .', ' A man dressed in black is standing above a white dog .', ' A man dressed in black with a white dog .', ' A man in black stands side by side with a white dog .', ' A person wearing a tuxedo is standing a floor with black and white squares .', ' A girl in a black outfir is standing with 2 pug dogs', ' Man in black pants and vest balances between to pillars , holding two flaming torches in his right hand .', ' A judge for a dog show is in a suit and examining one of the dogs .', ' A man with a tattoo on his leg is standing against a wall with a white dog on a leash .', ' The mouse is sitting on the dog that is in turn sitting on a coat in front of the man wearing the black top .']","[0.3779726028442383, 0.31921687722206116, 0.31266143918037415, 0.300424724817276, 0.29733893275260925, 0.2940272092819214, 0.2920056879520416, 0.29035118222236633, 0.2884613275527954, 0.2835230231285095]","['3591094476.jpg', '2228381169.jpg', '2228381169.jpg', '2228381169.jpg', '1391394685.jpg', '3591094476.jpg', '21138719.jpg', '4360988503.jpg', '4828433053.jpg', '3183777589.jpg']",1,1,1,A person stands with two leashed pugs and wears plaid pants with a black shirt set.,A person stands with two leashed pugs and wears plaid pants with a black shirt set.
1918894054.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/1918894054.jpg,"[' A female speaker wearing a gray jacket , a dark scoop necked top with a dark knee length skirt is presenting to a group using a computer to present as well as a microphone at the podium .', ' A female speaker at the SVA Theatre is giving a speech .', ' a woman is presenting a book to a crowd .', ' A female speaker talks about GlamWiki .', ' Woman giving a presentation at a Wikimedia event .', ' A woman in speaking in a theater .', ' A woman does a presentation in a dark room .', ' A woman in a white shirt is speaking to an audience made up mostly of children .', ' A woman stands at a podium that reads , "" SVA THEATRE . ""', ' A woman in black with a tan suit jacket is standing at a podium speaking to an audience .']","[0.3373948037624359, 0.3342227041721344, 0.3128287196159363, 0.31032565236091614, 0.3090743124485016, 0.3083041310310364, 0.30779650807380676, 0.3037850856781006, 0.3037007451057434, 0.30185601115226746]","['1918894054.jpg', '5352303362.jpg', '456244990.jpg', '3796631367.jpg', '3794595430.jpg', '5352303362.jpg', '3504922522.jpg', '4689253216.jpg', '5352303362.jpg', '1918894054.jpg']",1,1,1,A woman in a white shirt is speaking to an audience made up mostly of children.,A woman in a white shirt is speaking to an audience made up mostly of children.
439569646.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/439569646.jpg,"[' A young girl is cleaning a pair of boots on a rug inside a doorway .', ' A young girl faces a white and black wall in a red-carpeted room .', ' A little kid climbs a red mat on a festive carpet .', ' A young girl forgets about her room chores as her book intrigues her .', ' A toddler sticks paper "" P "" letters to a wood paneled wall .', ' A child is placing an item on a red wall .', ' A child is standing beside a banister on a red carpeted stair .', ' A blond little girl , wearing a red shirt , flowered skirt , and red and white striped pants , is looking into a dollhouse .', ' A boy dressed in red clothing pulling a mop across the floor .', ' Girl kneeling on a red carpet .']","[0.37358558177948, 0.36737093329429626, 0.3630259335041046, 0.3573530912399292, 0.3562476336956024, 0.3551402688026428, 0.3533599376678467, 0.3429638743400574, 0.3400525152683258, 0.33901458978652954]","['4183662919.jpg', '439569646.jpg', '2826030193.jpg', '4565405799.jpg', '2516317118.jpg', '437827172.jpg', '2888386138.jpg', '2427731202.jpg', '2832654970.jpg', '439569646.jpg']",0,1,1,A young girl is cleaning a pair of boots on a rug inside a doorway.,A young girl is cleaning a pair of boots on a rug inside a doorway.
512761651.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/512761651.jpg,"[' Pedestrians stroll down gardened walkway .', ' Pedestrians in a shaded walkway', ' A group walking in the middle of a walkway with a green divider , and a woman is walking by herself off to the right .', ' Walking through park and looking at all the construction .', ' Pedestrians walk through an open area between several traditional-style Japanese or Chinese buildings .', ' A man is walking by a large outdoor planter and about to enter an outdoor seating area for a restaurant .', ' A view of a city sidewalk , with 4 passersby in the foreground .', ' People wandering around an outdoor area .', ' People are walking down a walkway surrounded by buildings .', ' Passersby in an outdoor mall .']","[0.3916570544242859, 0.3559824526309967, 0.3431773781776428, 0.34189483523368835, 0.33756956458091736, 0.3356388509273529, 0.3349672853946686, 0.3346426486968994, 0.33432626724243164, 0.33387479186058044]","['4910842410.jpg', '4892689267.jpg', '516279719.jpg', '4891825066.jpg', '1306755031.jpg', '130500771.jpg', '3601018639.jpg', '4857180539.jpg', '4851214609.jpg', '4934467462.jpg']",0,0,0,A man in a suit is walking down a sidewalk with a large bird sculpture above him.,A man in a suit is walking down a sidewalk with a large bird sculpture above him.
531347711.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/531347711.jpg,"["" Dad is adjusting daughter 's bike ."", "" A toddler in a white shirt is standing in front of a blue kid 's bike ."", ' A man helps a little girl ride a bike .', ' This is when daddy taught her how to ride her scooter .', ' A man holding onto a small girl on a bike .', "" A man fixing a little girl 's bicycle ."", ' A man teaching his toddler how to fix the chain on a bicycle .', ' A man is showing a little boy how to ride a blue bicycle .', ' A man assembles a bicycle for a little girl .', ' A man helps a young girl balance on a bicycle that is too big for her .']","[0.3650738596916199, 0.3525956869125366, 0.34734174609184265, 0.3468368649482727, 0.34647658467292786, 0.3448672294616699, 0.33907848596572876, 0.33541563153266907, 0.3335781693458557, 0.33304068446159363]","['3564489441.jpg', '4418943038.jpg', '191003284.jpg', '531347711.jpg', '191003284.jpg', '3564489441.jpg', '3712463209.jpg', '3320154278.jpg', '3564489441.jpg', '191003284.jpg']",0,1,1,A man helps a little girl ride a blue bicycle.,A man helps a little girl ride a blue bicycle.
5651514000.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/5651514000.jpg,"[' A boy cooking on a grill .', ' A young boy grills steaks on a large stainless steel grill .', ' A young boy is cooking meat on a grill outside .', ' A young boy around the age of ten is cooking steaks on a grill outside on his wooden porch .', ' A young boy operates the barbecue .', ' A boy in his backyard grilling for his family .', ' A boy wearing a gray jacket and shorts brushes sauce on several pieces of meat on a grill .', ' A young boy using a spatula to handle meat on a grill .', ' A young boy is making steaks on a barbecue .', ' Young boy cooking in a grill on the backyard .']","[0.38887131214141846, 0.3822670578956604, 0.38013795018196106, 0.37540552020072937, 0.37393948435783386, 0.37328532338142395, 0.3714987635612488, 0.3708547055721283, 0.3704521954059601, 0.3678083121776581]","['2634573005.jpg', '5651514000.jpg', '5651514000.jpg', '5651514000.jpg', '2634573005.jpg', '2634573005.jpg', '5651514000.jpg', '2697058141.jpg', '5651514000.jpg', '2634573005.jpg']",0,1,1,A young boy in a gray hoodie and shorts is grilling steaks on a stainless steel grill,A young boy in a gray hoodie and shorts is grilling steaks on a stainless steel grill
3265209567.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3265209567.jpg,"[' A dog biting the tail of a cow .', ' A small dog barks at a brown and white cow .', ' A brown and white cow jumps away from a black and white cattle dog .', ' a dog nipping at the feet of a cow .', ' A dog is herding a bucking cow .', ' Dog running in front of two white and brown cows .', ' a small dog chasing after a bucking cow', "" A brown dog biting a horse 's ankle ."", ' A brown and white dog walks behind a brown cow .', "" A brown dog biting a horse 's leg .""]","[0.3633546233177185, 0.3585831820964813, 0.35799840092658997, 0.35673758387565613, 0.3461841642856598, 0.3461253345012665, 0.34265926480293274, 0.34191352128982544, 0.3401549458503723, 0.3392575681209564]","['2170222061.jpg', '2582390123.jpg', '2547785434.jpg', '2546959333.jpg', '2547785434.jpg', '2403544744.jpg', '2547785434.jpg', '3271468462.jpg', '3265209567.jpg', '3271468462.jpg']",0,0,1,A brown and white cow jumps away from a black and white cattle dog.,A brown and white cow jumps away from a black and white cattle dog.
7249180494.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/7249180494.jpg,"[' A swim cap-clad man emerges from the water , taking a deep breath .', ' A swimmer is emerging from the water', ' A swimmer exits the water after a competition .', ' A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land .', ' a swimmer about to start a race .', "" A swimmer 's hand is taken as he gets out of the water ."", ' The swimmers are getting ready to race wearing black swimmers .', ' A young man adjusts his clothing while others dive and swim in a lake .', ' A professional swimmer racing to the finish line .', ' A front view of a swimmer with his or her face in the water with people in the background standing out of the water .']","[0.35396692156791687, 0.35228052735328674, 0.35199102759361267, 0.3428361713886261, 0.34058552980422974, 0.33940985798835754, 0.33932024240493774, 0.3374931514263153, 0.33743521571159363, 0.3366330862045288]","['6177260197.jpg', '7249180494.jpg', '7249180494.jpg', '7249180494.jpg', '2345391999.jpg', '7249180494.jpg', '3335773346.jpg', '1504104816.jpg', '2345386817.jpg', '586384606.jpg']",0,1,1,A swimmer is emerging from the water.,A swimmer is emerging from the water.
4329159924.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4329159924.jpg,"[' People are walking in a very tall arched atrium .', ' An old building with a long hallway and glass roof .', ' A tall building with people standing below and in the round green balconies in the breezeways .', ' People are walking inside a very tall , old building .', ' A shopping court in a city somewhere .', ' people are walking under an arcade with shops to the side of the walk .', ' Tourists are shopping in a busy metropolitan town .', ' People walk through an arch in an old-looking city .', ' A circular piece of architecture is in this city .', ' There are plenty of people in the city shopping .']","[0.3130747079849243, 0.3114950358867645, 0.2698931396007538, 0.26728224754333496, 0.26648572087287903, 0.2614502012729645, 0.25934046506881714, 0.2574097812175751, 0.25462672114372253, 0.2542017102241516]","['4329159924.jpg', '4851907878.jpg', '4555563603.jpg', '4329159924.jpg', '4464415997.jpg', '2789150281.jpg', '4824240641.jpg', '6486182665.jpg', '4481348193.jpg', '4958488278.jpg']",1,1,1,People are walking in a very tall arched atrium.,People are walking in a very tall arched atrium.
4477151562.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4477151562.jpg,"[' People walking the streets of Berlin .', ' Passerby walk about in a busy Asian street .', ' An old street with some people window-shopping .', ' Pedestrians walk through the city , passing a restaurant .', ' Pedestrians walking down the street passing The Temple Bar .', ' walking down street on a rainy day .', ' a busy day in the city streets .', ' People walk along a busy street on a gloomy day .', "" A cloudy day in a city does n't keep away crowds of men and women on the sidewalks ."", ' People wandering a city street .']","[0.31790468096733093, 0.3151220977306366, 0.3119286298751831, 0.30747899413108826, 0.30719298124313354, 0.307011216878891, 0.30685415863990784, 0.3046504855155945, 0.3037775456905365, 0.3023410737514496]","['4809027667.jpg', '275175200.jpg', '2664994682.jpg', '2105320784.jpg', '4761927608.jpg', '1733825113.jpg', '483980949.jpg', '3732782360.jpg', '4674611016.jpg', '4726413723.jpg']",0,0,0,People walking down a busy street in a city.,People walking down a busy street in a city.
2905975229.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2905975229.jpg,"[' A man sits in a glider cockpit on the landing strip .', ' Two men in the cockpit of a small aircraft .', ' A pilot is driving a small engine airplane .', ' the dashboard of a small plane .', ' A person sitting in an airplane display .', ' Ride with a model biplane .', ' The pilot of a plane emerges from the cockpit .', ' A pilot and copilot are flying a plane .', ' The gauges of a small flying vessel , with another plane and three people in the background .', ' Two pilots are in the cockpit of an aircraft navigating over land and water .']","[0.3389824330806732, 0.33872148394584656, 0.3169628083705902, 0.30986180901527405, 0.3088086247444153, 0.30795320868492126, 0.3032965660095215, 0.3012027442455292, 0.3008389472961426, 0.2936132550239563]","['2905975229.jpg', '5573511334.jpg', '501989700.jpg', '2905975229.jpg', '3057497487.jpg', '3057497487.jpg', '2973340314.jpg', '5573511334.jpg', '2905975229.jpg', '5573511334.jpg']",1,1,1,A pilot sits in the cockpit of a glider plane on the runway.,A pilot sits in the cockpit of a glider plane on the runway.
